TIME	LAT	LON	HUM	TMP	CO	ROH	CO2	TOL	NH4	ACE	PM5	FULL	VIS	IR	LUX
06:45:10 PM	0	0	75.7	29.7	85.46	3.68	1.25	2.71	0.52	4.15	0.44	-55.39	8	6	2	0.7344
06:45:11 PM	0	0	75.7	29.7	85.46	3.27	1.14	2.48	0.47	3.85	0.4	-59.59	8	7	1	0.9996
06:45:11 PM	0	0	75.7	29.7	85.46	3.27	1.14	2.48	0.47	3.85	0.4	-59.59	8	7	1	0.9996
06:45:12 PM	0	0	75.7	29.7	85.46	4.47	1.47	3.12	0.61	4.68	0.52	-56.23	8	7	1	0.9996
06:45:12 PM	0	0	75.7	29.7	85.46	4.47	1.47	3.12	0.61	4.68	0.52	-56.23	8	7	1	0.9996
06:45:13 PM	0	0	75.7	29.7	85.46	4.82	1.56	3.29	0.65	4.91	0.55	-58.75	8	6	2	0.7344
06:45:13 PM	0	0	75.7	29.7	85.46	4.82	1.56	3.29	0.65	4.91	0.55	-58.75	8	6	2	0.7344
06:45:14 PM	0	0	75.7	29.7	85.46	4.14	1.38	2.95	0.57	4.46	0.49	-57.91	8	7	1	0.9996
06:45:14 PM	0	0	75.7	29.7	85.46	4.14	1.38	2.95	0.57	4.46	0.49	-57.91	8	7	1	0.9996
06:45:15 PM	0	0	75.7	29.7	85.46	4.3	1.42	3.03	0.59	4.57	0.5	-57.91	8	6	2	0.7344
06:45:15 PM	0	0	75.7	29.7	85.46	4.3	1.42	3.03	0.59	4.57	0.5	-57.91	8	6	2	0.7344
06:45:16 PM	0	0	75.8	29.8	85.64	4.14	1.38	2.95	0.57	4.46	0.49	-57.07	8	6	2	0.7344
06:45:16 PM	0	0	75.8	29.8	85.64	4.14	1.38	2.95	0.57	4.46	0.49	-57.07	8	6	2	0.7344
06:45:17 PM	0	0	75.8	29.8	85.64	4.47	1.47	3.12	0.61	4.68	0.52	-59.59	8	6	2	0.7344
06:45:17 PM	0	0	75.8	29.8	85.64	4.47	1.47	3.12	0.61	4.68	0.52	-59.59	8	6	2	0.7344
06:45:18 PM	0	0	75.8	29.8	85.64	4.3	1.42	3.03	0.59	4.57	0.5	-56.23	8	7	1	0.9996
06:45:18 PM	0	0	75.8	29.8	85.64	4.3	1.42	3.03	0.59	4.57	0.5	-56.23	8	7	1	0.9996
06:45:19 PM	0	0	75.7	29.8	85.64	3.83	1.29	2.79	0.54	4.25	0.46	-56.23	8	7	1	0.9996
06:45:19 PM	0	0	75.7	29.8	85.64	3.83	1.29	2.79	0.54	4.25	0.46	-56.23	8	7	1	0.9996
06:45:20 PM	0	0	75.7	29.8	85.64	4.3	1.42	3.03	0.59	4.57	0.5	-58.75	7	5	2	0.582857
06:45:20 PM	0	0	75.7	29.8	85.64	4.3	1.42	3.03	0.59	4.57	0.5	-58.75	7	5	2	0.582857
06:45:21 PM	0	0	75.7	29.8	85.64	3.83	1.29	2.79	0.54	4.25	0.46	-57.91	8	7	1	0.9996
06:45:21 PM	0	0	75.7	29.8	85.64	3.83	1.29	2.79	0.54	4.25	0.46	-57.91	8	7	1	0.9996
06:45:22 PM	0	0	75.6	29.8	85.64	4.64	1.51	3.2	0.63	4.8	0.54	-58.75	8	7	1	0.9996
06:45:22 PM	0	0	75.6	29.8	85.64	4.64	1.51	3.2	0.63	4.8	0.54	-58.75	8	7	1	0.9996
06:45:23 PM	0	0	75.6	29.8	85.64	4.3	1.42	3.03	0.59	4.57	0.5	-56.23	8	6	2	0.7344
06:45:23 PM	0	0	75.6	29.8	85.64	4.3	1.42	3.03	0.59	4.57	0.5	-56.23	8	6	2	0.7344
06:45:24 PM	0	0	75.6	29.8	85.64	4.14	1.38	2.95	0.57	4.46	0.49	-57.07	8	7	1	0.9996
06:45:24 PM	0	0	75.6	29.8	85.64	4.14	1.38	2.95	0.57	4.46	0.49	-57.07	8	7	1	0.9996
06:45:25 PM	0	0	75.5	29.7	85.46	4.82	1.56	3.29	0.65	4.91	0.55	-57.91	8	7	1	0.9996
06:45:25 PM	0	0	75.5	29.7	85.46	4.82	1.56	3.29	0.65	4.91	0.55	-57.91	8	7	1	0.9996
06:45:26 PM	0	0	75.5	29.7	85.46	4.3	1.42	3.03	0.59	4.57	0.5	-57.07	8	6	2	0.7344
06:45:26 PM	0	0	75.5	29.7	85.46	4.3	1.42	3.03	0.59	4.57	0.5	-57.07	8	6	2	0.7344
06:45:27 PM	0	0	75.5	29.7	85.46	4.47	1.47	3.12	0.61	4.68	0.52	-57.91	8	6	2	0.7344
06:45:27 PM	0	0	75.5	29.7	85.46	4.47	1.47	3.12	0.61	4.68	0.52	-57.91	8	6	2	0.7344
06:45:28 PM	0	0	75.3	29.7	85.46	4.3	1.42	3.03	0.59	4.57	0.5	-58.75	8	7	1	0.9996
06:45:28 PM	0	0	75.3	29.7	85.46	4.3	1.42	3.03	0.59	4.57	0.5	-58.75	8	7	1	0.9996
06:45:29 PM	0	0	75.3	29.7	85.46	4.3	1.42	3.03	0.59	4.57	0.5	-57.91	8	7	1	0.9996
06:45:29 PM	0	0	75.3	29.7	85.46	4.3	1.42	3.03	0.59	4.57	0.5	-57.91	8	7	1	0.9996
06:45:30 PM	0	0	75.3	29.7	85.46	4.47	1.47	3.12	0.61	4.68	0.52	-57.91	8	7	1	0.9996
06:45:30 PM	0	0	75.3	29.7	85.46	4.47	1.47	3.12	0.61	4.68	0.52	-57.91	8	7	1	0.9996
06:45:31 PM	0	0	75.3	29.8	85.64	3.98	1.34	2.87	0.55	4.36	0.47	-57.91	8	6	2	0.7344
06:45:31 PM	0	0	75.3	29.8	85.64	3.98	1.34	2.87	0.55	4.36	0.47	-57.91	8	6	2	0.7344
06:45:32 PM	0	0	75.3	29.8	85.64	4.3	1.42	3.03	0.59	4.57	0.5	-57.07	7	6	1	0.839314
06:45:32 PM	0	0	75.3	29.8	85.64	4.3	1.42	3.03	0.59	4.57	0.5	-57.07	7	6	1	0.839314
06:45:33 PM	0	0	75.3	29.8	85.64	3.98	1.34	2.87	0.55	4.36	0.47	-59.59	8	7	1	0.9996
06:45:33 PM	0	0	75.3	29.8	85.64	3.98	1.34	2.87	0.55	4.36	0.47	-59.59	8	7	1	0.9996
06:45:34 PM	0	0	75.1	29.8	85.64	4.64	1.51	3.2	0.63	4.8	0.54	-59.59	8	7	1	0.9996
06:45:34 PM	0	0	75.1	29.8	85.64	4.64	1.51	3.2	0.63	4.8	0.54	-59.59	8	7	1	0.9996
06:45:35 PM	0	0	75.1	29.8	85.64	4.3	1.42	3.03	0.59	4.57	0.5	-57.91	8	6	2	0.7344
06:45:35 PM	0	0	75.1	29.8	85.64	4.3	1.42	3.03	0.59	4.57	0.5	-57.91	8	6	2	0.7344
06:45:36 PM	0	0	75.1	29.8	85.64	4.14	1.38	2.95	0.57	4.46	0.49	-59.59	8	7	1	0.9996
06:45:36 PM	0	0	75.1	29.8	85.64	4.14	1.38	2.95	0.57	4.46	0.49	-59.59	8	7	1	0.9996
06:45:37 PM	0	0	75.1	29.8	85.64	4.47	1.47	3.12	0.61	4.68	0.52	-57.07	7	5	2	0.582857
06:45:37 PM	0	0	75.1	29.8	85.64	4.47	1.47	3.12	0.61	4.68	0.52	-57.07	7	5	2	0.582857
06:45:38 PM	0	0	75.1	29.8	85.64	3.68	1.25	2.71	0.52	4.15	0.44	-56.23	7	6	1	0.839314
06:45:38 PM	0	0	75.1	29.8	85.64	3.68	1.25	2.71	0.52	4.15	0.44	-56.23	7	6	1	0.839314
06:45:39 PM	0	0	75.1	29.8	85.64	4.47	1.47	3.12	0.61	4.68	0.52	-59.59	7	6	1	0.839314
06:45:39 PM	0	0	75.1	29.8	85.64	4.47	1.47	3.12	0.61	4.68	0.52	-59.59	7	6	1	0.839314
06:45:40 PM	0	0	75.2	29.8	85.64	4.3	1.42	3.03	0.59	4.57	0.5	-57.07	7	6	1	0.839314
06:45:40 PM	0	0	75.2	29.8	85.64	4.3	1.42	3.03	0.59	4.57	0.5	-57.07	7	6	1	0.839314
06:45:41 PM	0	0	75.2	29.8	85.64	3.98	1.34	2.87	0.55	4.36	0.47	-61.27	7	6	1	0.839314
06:45:41 PM	0	0	75.2	29.8	85.64	3.98	1.34	2.87	0.55	4.36	0.47	-61.27	7	6	1	0.839314
06:45:42 PM	0	0	75.2	29.8	85.64	3.83	1.29	2.79	0.54	4.25	0.46	-59.59	7	6	1	0.839314
06:45:42 PM	0	0	75.2	29.8	85.64	3.83	1.29	2.79	0.54	4.25	0.46	-59.59	7	6	1	0.839314
06:45:43 PM	0	0	75.1	29.8	85.64	3.83	1.29	2.79	0.54	4.25	0.46	-57.91	7	6	1	0.839314
06:45:43 PM	0	0	75.1	29.8	85.64	3.83	1.29	2.79	0.54	4.25	0.46	-57.91	7	6	1	0.839314
06:45:44 PM	0	0	75.1	29.8	85.64	3.83	1.29	2.79	0.54	4.25	0.46	-57.91	8	6	2	0.7344
06:45:44 PM	0	0	75.1	29.8	85.64	3.83	1.29	2.79	0.54	4.25	0.46	-57.91	8	6	2	0.7344
06:45:45 PM	0	0	75.1	29.8	85.64	4.14	1.38	2.95	0.57	4.46	0.49	-56.23	8	6	2	0.7344
06:45:45 PM	0	0	75.1	29.8	85.64	4.14	1.38	2.95	0.57	4.46	0.49	-56.23	8	6	2	0.7344
06:45:46 PM	0	0	75	29.8	85.64	4.64	1.51	3.2	0.63	4.8	0.54	-57.91	8	6	2	0.7344
06:45:46 PM	0	0	75	29.8	85.64	4.64	1.51	3.2	0.63	4.8	0.54	-57.91	8	6	2	0.7344
06:45:47 PM	0	0	75	29.8	85.64	4.47	1.47	3.12	0.61	4.68	0.52	-58.75	8	7	1	0.9996
06:45:47 PM	0	0	75	29.8	85.64	4.47	1.47	3.12	0.61	4.68	0.52	-58.75	8	7	1	0.9996
06:45:48 PM	0	0	75	29.8	85.64	3.98	1.34	2.87	0.55	4.36	0.47	-57.91	8	7	1	0.9996
06:45:48 PM	0	0	75	29.8	85.64	3.98	1.34	2.87	0.55	4.36	0.47	-57.91	8	7	1	0.9996
06:45:49 PM	0	0	74.9	29.8	85.64	4.14	1.38	2.95	0.57	4.46	0.49	-57.07	8	7	1	0.9996
06:45:49 PM	0	0	74.9	29.8	85.64	4.14	1.38	2.95	0.57	4.46	0.49	-57.07	8	7	1	0.9996
