,Unnamed: 0,Date,Latitude,Longitude,Speed,Altitude,ir,luminosity,pm1s,pm25s,pm10s,pm1e,pm25e,pm10e,a03um01Lair,a05um01Lair,a1um01Lair,a25um01Lair,a5um01Lair,a10um01Lair,Co2,Temp,Hum,uv,ROH,NH4
0,3577,2021-07-13 19:40:28.000,14.5795,121.0834,0.18,0.0,17,4.4899,6,9,9,6,9,9,1461,389,47,4,0,0,746.88,0.0,0.0,0.0,0,0
1,3578,2021-07-13 19:40:30.210,14.5795,121.0835,0.16,110.6,19,4.9962,6,9,9,6,9,9,1461,389,47,4,0,0,762.5,0.0,0.0,0.0,0,0
2,3579,2021-07-13 19:40:32.000,14.5795,121.0835,0.23,110.6,14,3.5444,5,8,8,5,8,8,1413,375,43,4,0,0,762.5,0.0,0.0,0.0,0,0
3,3580,2021-07-13 19:40:34.000,14.5795,121.0835,0.54,110.6,17,4.1712,5,8,8,5,8,8,1413,375,43,4,0,0,762.5,0.0,0.0,0.0,0,0
4,3581,2021-07-13 19:40:36.210,14.5796,121.0835,0.6,110.6,8,1.9723,5,8,8,5,8,8,1449,386,37,1,0,0,778.13,0.0,0.0,0.0,0,0
5,3582,2021-07-13 19:40:38.000,14.5796,121.0835,0.52,110.6,23,6.7014,5,7,7,5,7,7,1401,370,31,2,0,0,731.25,0.0,0.0,0.0,0,0
6,3583,2021-07-13 19:40:40.000,14.5796,121.0835,0.39,110.6,9,2.3582,5,7,7,5,7,7,1407,371,31,2,0,0,746.88,0.0,0.0,0.0,0,0
7,3584,2021-07-13 19:40:42.210,14.5796,121.0835,0.17,110.6,9,2.252,5,7,7,5,7,7,1407,371,31,2,0,0,853.13,0.0,0.0,0.0,0,0
8,3585,2021-07-13 19:40:42.210,14.5796,121.0835,0.17,110.6,22,5.9419,5,7,7,5,7,7,1386,368,29,2,0,0,762.5,0.0,0.0,0.0,0,0
9,3586,2021-07-13 19:40:46.000,14.5797,121.0835,0.14,110.6,21,5.9285,5,7,7,5,7,7,1431,388,26,2,0,0,762.5,0.0,0.0,0.0,0,0
10,3587,2021-07-13 19:40:48.000,14.5797,121.0835,0.15,110.6,22,6.4216,5,7,7,5,7,7,1431,388,26,2,0,0,762.5,0.0,0.0,0.0,0,0
11,3588,2021-07-13 19:40:50.000,14.5797,121.0835,0.15,110.6,21,6.2486,5,7,7,5,7,7,1383,379,29,2,0,0,778.13,0.0,0.0,0.0,0,0
12,3589,2021-07-13 19:40:52.000,14.5797,121.0835,0.3,110.6,21,5.9818,5,7,7,5,7,7,1359,387,25,2,0,0,837.5,0.0,0.0,0.0,0,0
13,3590,2021-07-13 19:40:54.000,14.5797,121.0835,0.3,110.6,14,3.5975,5,7,7,5,7,7,1308,375,24,2,0,0,731.25,0.0,0.0,0.0,0,0
14,3591,2021-07-13 19:40:56.000,14.5797,121.0835,0.54,110.6,23,6.2749,5,7,7,5,7,7,1308,375,24,2,0,0,762.5,0.0,0.0,0.0,0,0
15,3592,2021-07-13 19:40:58.000,14.5797,121.0835,0.6,110.6,23,6.2217,7,8,9,7,8,9,1512,439,34,3,0,0,778.13,0.0,0.0,0.0,0,0
16,3593,2021-07-13 19:41:00.000,14.5797,121.0835,0.1,110.6,22,6.3149,8,10,11,8,10,11,1749,502,43,3,0,0,746.88,0.0,0.0,0.0,0,0
17,3594,2021-07-13 19:41:02.000,14.5797,121.0835,0.13,110.6,22,6.2616,8,10,11,8,10,11,1749,502,43,3,0,0,825.0,0.0,0.0,0.0,0,0
18,3595,2021-07-13 19:41:02.000,14.5797,121.0835,0.13,110.6,11,3.5046,9216,2304,2816,2816,2304,2816,2822,59138,768,11520,1024,0,778.13,0.0,0.0,0.0,0,0
